 181500      'N1COIL'  'C79'     'C139'     'C199'     'C259'     'C319'      'C19'  
'MPI11M067 '   0.0  -1.538e-08 -1.166e-08 -1.621e-09  1.698e-10 -3.134e-09 -6.703e-10
'MPI2A067  '   0.0   6.763e-08  2.110e-08  9.316e-09  6.760e-09  5.568e-09  3.875e-08
'MPI2B067  '   0.0  -8.468e-08 -4.379e-08 -1.248e-08 -9.164e-09 -1.916e-08 -3.953e-08
'MPI66M067 '   0.0   9.357e-08  6.998e-09  3.182e-09 -2.328e-10  2.774e-09  3.682e-09
'MPI67A067 '   0.0  -7.253e-07 -1.239e-07  8.113e-09  5.778e-09  9.405e-09  3.271e-10
'MPI67B067 '   0.0   7.211e-07  1.327e-07  4.792e-09 -1.573e-09 -1.065e-08  1.310e-10
'MPI1A139  '   0.0   7.586e-10 -1.410e-08 -4.564e-09 -4.321e-11 -4.817e-09  3.844e-09
'MPI2A139  '   0.0   1.623e-08  8.723e-09  4.924e-09  7.649e-09 -2.724e-09  5.214e-09
'MPI3A139  '   0.0   2.364e-08  3.388e-08  1.677e-08  9.180e-09 -1.900e-09  1.122e-08
'MPI4A139  '   0.0   3.272e-08  5.403e-08  2.321e-08  7.384e-09 -2.973e-10  1.362e-08
'MPI5A139  '   0.0   4.633e-08  9.127e-08  4.412e-08  1.539e-08  5.300e-09  1.526e-08
'MPI79A147 '   0.0  -5.496e-09 -3.335e-07 -5.008e-08  1.050e-08  1.179e-08  1.318e-08
'MPI7NA142 '   0.0  -1.837e-08 -7.636e-07 -3.185e-08  1.377e-09  8.584e-09  7.330e-09
'MPI67A3   '   0.0  -2.275e-09 -7.492e-07 -1.086e-07  2.420e-09  8.929e-09  4.413e-09
'MPI6FA142 '   0.0  -5.199e-09 -9.146e-07 -6.737e-09  6.651e-09  1.015e-08  4.773e-10
'MPI6NA157 '   0.0  -3.467e-09 -3.143e-07 -3.355e-08 -5.733e-10  2.462e-09 -1.152e-09
'MPI66M157 '   0.0   7.792e-10  2.204e-08  2.917e-08 -8.706e-10  3.210e-09 -1.012e-09
'MPI1B157  '   0.0  -9.314e-09 -4.764e-08 -3.295e-08 -6.704e-09 -5.491e-09 -2.700e-09
'MPI1B139  '   0.0  -8.372e-09 -3.781e-08 -1.155e-08 -6.491e-10 -6.151e-09 -3.291e-09
'MPI2B139  '   0.0  -1.581e-08 -5.595e-08 -2.778e-08 -3.873e-09 -1.018e-08 -2.606e-09
'MPI3B139  '   0.0  -3.074e-08 -7.586e-08 -3.219e-08 -6.691e-09 -1.020e-08 -8.023e-09
'MPI4B139  '   0.0  -3.664e-08 -9.301e-08 -4.396e-08 -1.297e-08 -1.410e-08 -8.290e-09
'MPI5B139  '   0.0  -5.226e-08 -1.232e-07 -5.210e-08 -1.069e-08 -1.658e-08 -1.638e-08
'MPI79B142 '   0.0   1.875e-08  4.766e-07  2.977e-08 -1.372e-09 -2.872e-09 -9.156e-09
'MPI7NB142 '   0.0   3.063e-08  7.423e-07  4.724e-08  4.965e-09  1.629e-09 -2.940e-09
'MPI67B3   '   0.0   3.316e-09  7.983e-07  1.196e-07 -1.165e-10 -2.273e-09  6.455e-11
'MPI6FB142 '   0.0   1.255e-08  9.662e-07  2.324e-08 -3.390e-09 -2.122e-09 -3.682e-09
'MPI6NB157 '   0.0   1.070e-08  3.696e-07  1.015e-07  5.969e-09  3.066e-09  4.145e-09
'MPI66M247 '   0.0   2.305e-09  3.803e-09  2.388e-08 -2.793e-08  1.276e-08  3.355e-09
'MPI8A322  '   0.0   1.084e-08  3.212e-08  3.371e-08  6.694e-10 -1.224e-07  2.315e-08
'MPI89A322 '   0.0   1.361e-08  3.257e-08  3.046e-08  3.712e-09 -1.342e-07  2.858e-08
'MPI9A322  '   0.0   2.344e-09  3.121e-08  3.079e-08  1.431e-08 -1.353e-07  4.724e-08
'MPI79FA322'   0.0   6.907e-10  1.569e-08  1.351e-08 -2.091e-08 -2.888e-07 -1.185e-08
'MPI79NA322'   0.0  -6.355e-09  1.363e-08  1.245e-08 -1.335e-08 -3.736e-07  5.216e-09
'MPI7FA322 '   0.0   1.021e-09  1.320e-08  1.495e-08 -6.725e-09 -4.648e-07  7.178e-09
'MPI7NA322 '   0.0  -2.918e-09  8.729e-09  5.125e-09 -2.311e-08 -6.700e-07 -2.382e-08
'MPI67A322 '   0.0   2.122e-08  8.158e-09  6.719e-09 -1.793e-08 -7.537e-07 -3.957e-08
'MPI6FA322 '   0.0   6.346e-09  8.107e-09  5.296e-09 -1.069e-08 -7.546e-07 -2.150e-08
'MPI6NA322 '   0.0  -6.572e-09  2.359e-09 -2.370e-09 -2.373e-08 -2.448e-07 -4.791e-09
'MPI66M322 '   0.0  -1.258e-09  4.930e-09 -5.095e-10 -4.013e-10  1.040e-07  7.271e-09
'MPI6NB322 '   0.0  -3.537e-09  6.983e-09  4.950e-09  2.057e-08  4.278e-07  2.750e-08
'MPI6FB322 '   0.0   1.016e-08  1.245e-09 -5.005e-09  1.299e-08  8.195e-07  8.300e-09
'MPI67B322 '   0.0   2.844e-09  8.786e-10 -1.960e-09  2.399e-08  7.623e-07  2.022e-08
'MPI7NB322 '   0.0  -1.300e-09  1.272e-09 -2.027e-09  2.605e-08  6.239e-07  3.683e-08
'MPI7FB322 '   0.0  -2.513e-08 -4.310e-09 -8.536e-09  1.631e-08  4.299e-07  4.490e-08
'MPI79B322 '   0.0  -2.948e-08 -4.281e-09 -5.726e-09  2.382e-08  2.897e-07  6.250e-08
'MPI9B322  '   0.0  -3.097e-08 -2.507e-08 -3.076e-08 -2.513e-08  8.489e-08 -2.266e-08
'MPI89B322 '   0.0  -4.586e-08 -2.698e-08 -3.279e-08 -1.330e-08  9.311e-08  4.094e-09
'MPI8B322  '   0.0  -1.593e-08 -3.212e-08 -3.939e-08 -1.278e-09  9.123e-08 -1.878e-08
'MPI5B322  '   0.0  -4.546e-08 -3.944e-08 -4.498e-08 -3.494e-08 -1.741e-08 -3.499e-08
'MPI4B322  '   0.0  -4.049e-08 -2.209e-08 -2.610e-08 -5.241e-08 -1.132e-07 -4.643e-08
'MPI3B322  '   0.0  -5.253e-08 -1.708e-08 -1.965e-08 -4.665e-08 -1.017e-07 -1.738e-08
'MPI2B322  '   0.0  -6.452e-09 -1.494e-08 -1.587e-08 -2.870e-08 -8.171e-08 -4.706e-08
'MPI1B322  '   0.0  -2.096e-08 -8.588e-09 -7.893e-09 -1.329e-08 -4.559e-08  1.452e-09
'MPI11M322 '   0.0  -3.523e-08 -5.627e-09 -6.271e-09 -2.492e-09 -1.869e-08  3.319e-08
'MPI1A322  '   0.0   4.176e-09 -3.062e-09 -3.311e-10  9.739e-09  3.154e-09  1.121e-08
'MPI2A322  '   0.0   1.061e-09  3.645e-09  8.609e-09  2.929e-08  4.976e-08  4.727e-08
'MPI3A322  '   0.0   2.697e-09  7.960e-09  1.507e-08  4.021e-08  8.027e-08  6.675e-08
'MPI4A322  '   0.0   2.169e-08  1.190e-08  2.027e-08  4.932e-08  1.061e-07  6.242e-08
'MPI5A322  '   0.0   5.580e-08  3.748e-08  4.412e-08  3.450e-08 -2.449e-09  2.572e-08
'MPI1U157  '   0.0  -4.790e-09 -2.387e-07 -6.583e-08  9.921e-09  1.361e-08  1.195e-08
'MPI2U157  '   0.0  -1.864e-09 -3.473e-07 -1.064e-07  1.277e-08  1.453e-08  1.777e-08
'MPI3U157  '   0.0   4.401e-08 -1.886e-07 -1.689e-08  2.375e-08  2.173e-08  2.255e-08
'MPI4U157  '   0.0   4.051e-08 -2.643e-07 -3.416e-08  2.667e-08  1.823e-08  2.350e-08
'DSL1U180  '   0.0   6.720e-08  6.628e-08  5.256e-08  7.039e-08  2.211e-08  2.623e-08
'DSL2U180  '   0.0   4.157e-08  5.762e-08  5.886e-08  4.645e-08  2.246e-08  2.297e-08
'DSL3U180  '   0.0   2.207e-08  1.487e-07  2.513e-07  4.139e-08  4.053e-09  7.606e-09
'DSL4U157  '   0.0   3.510e-08  3.383e-07  1.418e-07  1.363e-08  6.361e-11  5.384e-09
'MPI5U157  '   0.0   5.301e-08  9.651e-08  6.651e-08  3.133e-08  1.417e-08  2.790e-08
'MPI6U157  '   0.0   1.263e-08 -1.430e-07 -4.131e-08  3.563e-08  2.983e-08  3.665e-08
'MPI7U157  '   0.0   4.451e-08  1.188e-07  7.424e-08  2.550e-08  8.550e-09  1.587e-08
'DSL5U157  '   0.0   6.602e-09  1.257e-07  1.170e-07  4.158e-09 -2.399e-08 -2.234e-08
'DSL6U157  '   0.0   0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'MPI1L180  '   0.0  -3.789e-08  3.133e-08  1.449e-07 -2.329e-08 -2.366e-08 -2.539e-08
'MPI2L180  '   0.0  -4.041e-08  3.107e-08  7.243e-08 -3.023e-08 -2.378e-08 -2.878e-08
'MPI3L180  '   0.0  -2.502e-08  2.424e-08  1.445e-07 -3.178e-08 -2.590e-08 -1.897e-08
'PSF1A     '   0.0   3.807e-09 -4.166e-09  5.052e-09 -6.666e-10  5.890e-09  3.779e-10
'PSF2A     '   0.0   7.548e-09  5.932e-09  6.714e-09  4.925e-09  5.444e-09  4.196e-09
'PSF3A     '   0.0   1.321e-08  1.342e-08  1.450e-08  9.921e-09  1.224e-08  1.036e-08
'PSF4A     '   0.0   1.535e-08  1.588e-08  1.654e-08  1.174e-08  1.405e-08  1.246e-08
'PSF5A     '   0.0   2.304e-08  2.328e-08  2.353e-08  1.827e-08  2.259e-08  1.915e-08
'PSF6NA    '   0.0   1.071e-07  9.106e-08  9.295e-08  1.033e-07  7.318e-08  1.185e-07
'PSF7NA    '   0.0   0.000      0.000      0.000      0.000      0.000      0.000    
'PSF8A     '   0.0   3.896e-08  4.030e-08  3.920e-08  2.943e-08  3.600e-08  3.468e-08
'PSF9A     '   0.0   8.007e-08  8.501e-08  8.285e-08  6.458e-08  7.242e-08  7.304e-08
'PSF1B     '   0.0  -6.329e-09 -7.844e-09 -7.160e-09 -6.267e-09 -7.239e-09 -6.230e-09
