 181500        'PCIU30'   'PCIU90'  'PCIU150'   'PCIL30'   'PCIL90'  'PCIL150'  'PCIU210'  'PCIU270'  'PCIU330'  'PCIL210'  'PCIL270'  'PCIL330'
'MPI6NA157 '  9.119e-09  1.993e-08  4.213e-08 -8.497e-09 -1.745e-08  4.009e-08  1.144e-08  8.136e-09  5.731e-08 -7.142e-10  2.770e-08 -1.399e-08
'MPI66M157 '  3.749e-09 -5.481e-09 -3.264e-08 -2.435e-10 -1.768e-10  3.971e-08  4.421e-10 -5.344e-09 -7.987e-09 -4.221e-09 -1.359e-08  4.743e-11
'MPI1B157  ' -9.050e-10  1.520e-10  2.339e-08 -2.761e-09 -8.073e-09 -2.868e-08  9.107e-09 -6.645e-09 -8.010e-09 -1.401e-08 -1.170e-08 -3.196e-09
'MPI1B139  '  1.494e-10  1.607e-08  3.519e-08  1.902e-09 -1.188e-08 -2.589e-08  7.756e-09  1.012e-08  2.017e-09 -3.103e-09 -5.303e-09 -6.029e-10
'MPI2B139  '  6.214e-09  6.787e-09  2.935e-08  3.451e-09 -4.566e-09 -2.626e-08  1.893e-08  7.119e-10 -1.149e-09 -2.082e-09  1.368e-09 -1.911e-10
'MPI3B139  '  4.367e-09  1.554e-08  3.315e-08  3.521e-09 -2.515e-09 -1.540e-08  1.009e-08  1.568e-09  3.779e-09 -9.581e-10  6.983e-09  7.068e-09
'MPI4B139  '  5.927e-09  1.115e-08  2.599e-08  2.896e-09  4.116e-11 -1.858e-10  1.284e-08  3.266e-09  9.653e-09 -5.880e-10  1.487e-09  8.519e-09
'MPI5B139  '  1.097e-08  1.032e-08  2.841e-08  1.212e-08  7.581e-09  2.352e-08  9.305e-09  1.570e-09  1.563e-08  1.358e-08  2.245e-09  1.489e-08
'MPI79B142 '  3.417e-11 -2.171e-09 -3.401e-09  2.166e-09  3.078e-09 -3.061e-07 -5.890e-10 -1.401e-09  2.008e-09  3.373e-09 -2.646e-09  1.240e-09
'MPI7NB142 '  5.722e-09  2.972e-08  4.501e-08 -8.387e-09 -2.722e-08  6.562e-08  5.861e-09  9.756e-09  7.495e-08 -1.426e-10  6.442e-08 -1.965e-08
'MPI67B3   ' -2.272e-08  2.491e-09 -1.110e-08  7.385e-09  1.258e-08  3.077e-08  4.034e-08  8.224e-09 -2.152e-08  9.209e-09  7.540e-09 -5.928e-09
'MPI6FB142 '  5.778e-09  1.978e-08  2.221e-08 -8.861e-09 -1.085e-08  1.185e-07  1.559e-09  1.418e-08  3.996e-08 -2.783e-09  3.004e-08 -2.503e-09
'MPI6NB157 ' -1.294e-10 -3.512e-09 -2.741e-08 -2.054e-09  6.017e-10 -2.053e-08 -5.739e-09 -3.406e-09 -8.527e-09 -1.414e-08 -5.083e-09 -1.200e-09
'MPI66M247 ' -2.743e-09 -5.571e-09 -1.916e-08 -4.482e-09 -1.086e-09 -1.425e-08 -5.405e-09 -2.520e-08 -2.945e-08 -1.888e-08  1.278e-08 -1.257e-08
'MPI8A322  ' -1.716e-08 -2.588e-09 -8.804e-09 -1.120e-08  1.459e-08 -5.423e-09  7.797e-09 -1.417e-08 -1.473e-08  2.530e-08  4.106e-09 -7.105e-08
'MPI89A322 '  1.388e-08 -2.888e-08 -3.366e-08  1.511e-09 -2.800e-09  2.067e-09 -1.413e-08 -7.038e-09  1.154e-08  2.752e-08 -3.907e-09  2.417e-08
'MPI9A322  ' -1.632e-08 -7.231e-09 -2.737e-09 -8.150e-10  7.003e-09 -6.655e-09  9.837e-09 -2.461e-08 -4.016e-08 -3.422e-09 -4.990e-09  6.964e-09
'MPI79FA322' -1.181e-08 -6.833e-09 -1.902e-09  2.276e-09  1.231e-08 -6.006e-09  1.015e-08 -1.421e-08  6.753e-08  2.953e-09  4.095e-09 -4.603e-09
'MPI79NA322' -1.521e-08 -1.937e-08 -5.605e-09 -1.039e-09  2.150e-08 -7.881e-09  1.700e-08 -2.352e-08  9.432e-08 -1.600e-10  8.900e-09  1.530e-08
'MPI7FA322 ' -4.032e-09 -8.643e-09 -9.163e-09  2.217e-09  1.083e-08 -2.926e-09  4.882e-09 -2.547e-08  1.209e-07  2.203e-09  5.621e-09  4.449e-09
'MPI7NA322 ' -1.108e-09 -1.142e-08 -3.488e-09  3.886e-09  1.878e-08 -2.744e-09  1.302e-08 -5.823e-09  4.170e-08 -5.827e-10  9.667e-09  8.042e-09
'MPI67A322 ' -9.755e-09 -7.582e-09 -1.388e-09 -5.164e-10  5.013e-09 -1.012e-08  1.494e-08 -1.345e-08 -9.368e-10  8.040e-09  1.019e-08 -5.516e-09
'MPI6FA322 ' -1.222e-09 -1.316e-08 -6.285e-09 -9.762e-10  1.134e-08 -2.481e-09  9.666e-09 -1.781e-08 -1.233e-07  4.924e-10  3.193e-10  1.736e-08
'MPI6NA322 ' -4.923e-09  1.687e-09 -7.873e-09 -5.564e-09  1.161e-08 -3.349e-10  1.036e-08 -4.658e-09 -6.510e-09 -3.022e-09  7.431e-09  2.501e-08
'MPI66M322 ' -7.422e-09 -1.442e-08 -1.368e-09  5.576e-09  1.393e-08  2.875e-09  1.422e-08 -1.150e-08 -5.999e-08  5.208e-09  1.048e-08  5.358e-08
'MPI6NB322 '  1.601e-08 -1.125e-08 -1.481e-08 -5.795e-10 -4.876e-09 -1.535e-09 -3.188e-09 -1.241e-08 -4.142e-08  2.451e-08 -3.656e-09  3.669e-09
'MPI6FB322 '  1.230e-08 -2.750e-08 -2.525e-08  5.705e-09  5.217e-09 -7.221e-10 -1.027e-08 -3.936e-10 -1.591e-08  2.944e-08  5.390e-09  5.402e-08
'MPI67B322 '  1.579e-08 -2.521e-08 -2.116e-08  2.320e-09 -2.443e-09  3.854e-09 -5.338e-09 -1.331e-10 -2.530e-08  2.973e-08 -2.366e-08  1.086e-07
'MPI7NB322 '  1.177e-08 -2.722e-08 -2.655e-08  2.410e-09  2.220e-09 -1.071e-09 -6.678e-09 -8.935e-09 -2.120e-08  3.476e-08 -4.921e-09 -7.747e-08
'MPI7FB322 '  1.732e-08 -2.006e-08 -1.801e-08  1.065e-08 -2.369e-09  6.153e-09 -2.480e-09 -8.104e-09 -2.225e-08  2.762e-08 -3.264e-10 -1.052e-07
'MPI79B322 '  1.376e-08 -2.646e-08 -2.149e-08 -1.186e-09 -6.250e-09  4.082e-09 -4.774e-09 -4.416e-09 -2.088e-08  2.958e-08 -9.968e-09 -6.110e-08
'MPI9B322  '  5.431e-08 -1.257e-08  6.991e-09 -7.489e-09  3.485e-09  4.720e-08 -1.506e-08  3.052e-09  6.019e-09  7.508e-08 -1.297e-08  1.084e-08
'MPI89B322 '  2.752e-08 -2.162e-08 -1.367e-08  1.395e-08  5.965e-09  1.333e-08 -5.650e-09  4.947e-09 -6.753e-10  3.040e-08  1.149e-08 -3.371e-09
'MPI8B322  '  1.923e-08 -1.027e-08 -2.209e-08  1.144e-08 -1.821e-09  4.275e-09 -2.617e-09 -1.670e-09 -1.335e-08  2.405e-08 -1.377e-09 -2.818e-08
'MPI5B322  '  2.225e-08 -1.509e-08 -1.646e-08 -7.418e-09  3.603e-08  1.021e-09 -5.329e-09  8.818e-09 -1.478e-09  3.866e-08  1.034e-08  1.863e-08
'MPI4B322  '  2.423e-08 -1.978e-08 -2.034e-08  1.211e-08  4.194e-09  1.549e-11 -3.983e-09  5.006e-09 -6.947e-09  2.854e-08  1.277e-08  3.883e-08
'MPI3B322  '  2.440e-08 -1.695e-08 -1.786e-08  6.987e-09  4.162e-09  5.910e-09 -7.830e-09  7.492e-09  9.797e-09  3.351e-08  6.071e-09  3.223e-08
'MPI2B322  '  3.029e-08 -1.059e-08 -1.895e-08 -2.461e-09  2.434e-09 -2.661e-10 -1.936e-09  9.074e-09  9.440e-09  2.163e-08 -8.310e-09 -5.634e-09
'MPI1B322  '  2.579e-08 -2.148e-08 -1.805e-08 -3.498e-09 -1.518e-09  1.968e-09 -4.355e-09  1.262e-08  1.979e-08  2.552e-08 -9.808e-09 -2.271e-08
'MPI11M322 ' -2.213e-09 -1.161e-08 -3.494e-09 -7.008e-09  1.726e-08 -7.816e-09  1.638e-08 -4.413e-09  3.322e-09  6.492e-09  8.582e-09 -3.287e-08
'MPI1A322  ' -1.034e-09 -8.688e-09 -3.957e-09 -2.661e-09  8.735e-09 -6.966e-09  8.339e-10  7.141e-09  1.231e-08  2.535e-09 -1.214e-08 -3.188e-08
'MPI2A322  ' -7.509e-09 -6.089e-09 -8.892e-09 -1.092e-08  2.249e-09  1.949e-09  3.352e-09 -1.156e-08 -4.615e-09 -5.460e-10 -1.256e-08 -3.289e-08
'MPI3A322  ' -1.062e-08 -8.651e-09 -8.661e-09 -7.843e-09  9.844e-09 -1.309e-08  7.123e-09 -1.359e-08 -3.600e-08 -2.884e-09  6.587e-09 -3.177e-08
'MPI4A322  ' -1.268e-08 -1.296e-08 -5.952e-09 -9.916e-09  9.504e-09 -6.265e-09 -1.136e-11 -3.125e-08 -5.925e-08  2.932e-09 -6.726e-09 -2.709e-08
'MPI5A322  ' -1.473e-08 -1.563e-08 -8.221e-09 -4.861e-09  4.411e-09 -6.352e-09  2.398e-09 -2.416e-08 -2.533e-08  2.025e-09 -7.404e-09 -1.787e-08
'MPI1U157  '  8.948e-10 -8.790e-09  9.730e-08 -1.346e-08 -8.133e-10  3.968e-08  1.201e-08  2.642e-09 -2.308e-09 -1.962e-09 -7.066e-09 -5.422e-09
'MPI2U157  '  1.203e-08 -8.293e-09  1.396e-07 -1.415e-08 -4.357e-10 -1.294e-07 -1.089e-08  1.962e-08  8.780e-09  1.076e-08 -2.246e-08 -1.280e-09
'MPI3U157  '  2.022e-08  1.460e-09  3.406e-08 -2.337e-08 -4.997e-09  1.933e-08 -3.222e-08  3.593e-08  9.646e-08 -5.392e-09 -1.019e-08 -1.621e-10
'MPI4U157  ' -1.445e-08 -2.064e-08  3.142e-08 -1.754e-08 -1.773e-09 -5.572e-08 -2.803e-08  1.198e-08  1.124e-08 -9.479e-09 -6.061e-09 -1.775e-09
'DSL1U180  '  1.256e-07 -2.653e-09 -7.386e-08  8.469e-08  6.946e-10 -3.817e-08  2.285e-08  1.933e-08  6.777e-09  8.641e-08  1.228e-09 -4.689e-09
'DSL2U180  '  1.374e-08 -6.973e-09 -7.585e-08  2.114e-09  3.328e-10 -2.849e-08 -7.950e-08  1.203e-08 -9.938e-09 -1.436e-08 -1.779e-08 -4.358e-09
'DSL3U180  '  2.086e-08  7.343e-09 -1.573e-07  1.076e-09 -6.393e-10 -2.839e-08 -1.776e-07  2.338e-08  6.175e-09 -4.803e-09 -8.057e-09 -5.936e-09
'DSL4U157  '  3.410e-09  7.155e-09 -5.031e-07 -1.196e-08 -8.347e-10 -3.527e-08 -4.685e-08  2.941e-08 -8.641e-09 -1.755e-08 -7.794e-09  4.421e-09
'MPI5U157  '  2.306e-08  4.190e-08 -1.572e-07 -6.027e-08  1.650e-08 -7.896e-08 -1.306e-07  1.518e-07 -2.237e-08 -6.351e-08 -2.922e-08  8.727e-09
'MPI6U157  '  3.254e-08  5.076e-08 -4.753e-08 -2.842e-08  2.028e-08 -6.544e-08 -1.073e-07  8.709e-08 -5.571e-08 -2.839e-08  1.107e-08  5.873e-09
'MPI7U157  '  2.510e-08  4.269e-08 -1.579e-07 -3.689e-08  8.499e-09 -8.375e-08 -1.727e-07  1.678e-07 -2.547e-08 -8.644e-08 -1.376e-08  8.563e-09
'DSL5U157  '  3.038e-08  3.389e-08 -8.566e-08 -1.947e-08  2.663e-08 -3.763e-08 -1.026e-07  1.156e-07 -9.563e-09 -5.163e-08 -6.199e-09  1.696e-08
'DSL6U157  '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'MPI1L180  '  2.403e-08 -1.478e-08  4.535e-08 -1.015e-09  1.116e-08  9.053e-10 -1.095e-08  1.579e-08 -3.761e-08 -5.271e-08 -4.837e-08  4.573e-09
'MPI2L180  '  1.195e-08  2.015e-09  1.536e-08 -3.667e-09  5.686e-08 -2.985e-08  4.194e-08 -3.332e-08 -6.458e-08 -5.107e-08 -1.194e-08  3.355e-09
'MPI3L180  ' -1.141e-08 -1.025e-08  2.388e-08  2.319e-08  2.408e-08 -1.323e-08 -2.188e-08  3.390e-09 -5.756e-08 -5.012e-08 -3.728e-08  2.866e-08
'PSF1A     '  1.534e-07 -6.291e-09  1.037e-07  3.338e-08  2.297e-08 -3.275e-08 -6.499e-08 -5.409e-08  3.563e-08 -5.488e-08  9.435e-08  1.214e-08
'PSF2A     '  3.553e-08 -6.743e-09  2.509e-08  1.003e-08  7.658e-09 -1.114e-08 -1.215e-08 -1.429e-08  5.071e-09 -1.371e-08  2.469e-08  5.143e-09
'PSF3A     '  3.421e-08  4.400e-10  1.287e-08  1.267e-08  3.110e-09 -1.087e-08 -2.177e-08 -1.803e-08  6.049e-09 -1.946e-08  2.554e-08  5.509e-09
'PSF4A     '  2.846e-08 -8.269e-09  1.807e-08  6.025e-09  4.714e-09 -2.954e-09 -1.775e-08 -1.897e-08  4.800e-09 -1.313e-08  2.418e-08  7.946e-09
'PSF5A     '  2.685e-08 -7.072e-09  1.575e-08  9.123e-09  3.463e-09 -4.035e-09 -2.760e-08 -1.912e-08  4.837e-09 -1.309e-08  2.264e-08  5.878e-09
'PSF6NA    '  1.195e-07  9.346e-08  1.090e-07 -2.579e-08 -2.859e-08 -4.025e-08  8.132e-08  8.509e-08  9.880e-08 -3.803e-08 -1.577e-08 -3.236e-08
'PSF7NA    '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'PSF8A     '  2.206e-08 -1.405e-08  1.091e-08  8.153e-09  4.494e-09 -2.985e-09 -2.328e-08 -2.051e-08 -1.757e-09 -1.347e-08  2.159e-08  5.691e-09
'PSF9A     '  6.278e-09 -2.458e-08 -2.578e-09  2.397e-09  4.885e-10 -1.041e-08 -4.029e-08 -3.387e-08 -1.426e-08 -1.398e-08  1.942e-08  4.897e-09
'PSF1B     ' -8.696e-10  5.769e-09  1.044e-08 -5.851e-09  1.025e-09 -3.054e-09  4.660e-09  1.107e-08  1.079e-08 -5.027e-09 -1.639e-08 -4.177e-09
'PSF2B     '  2.612e-09  7.837e-09  7.240e-09 -2.338e-09  1.096e-09  9.286e-10  6.207e-09  1.200e-08  1.620e-08 -1.332e-09 -1.509e-08 -1.012e-10
'PSF3B     '  3.265e-10  6.240e-09  1.114e-08 -2.483e-09  4.873e-09  2.460e-09  2.602e-09  1.728e-08  1.778e-08  7.630e-11 -1.451e-08  3.769e-09
'PSF4B     '  2.969e-09  5.227e-09  1.078e-08  1.811e-09  4.455e-09  6.397e-09  3.431e-09  1.169e-08  1.828e-08  1.621e-09 -1.252e-08  4.545e-09
'PSF5B     '  2.223e-09  4.673e-09  9.236e-09  4.108e-09  5.205e-09  1.077e-08  1.012e-08  1.215e-08  1.597e-08  8.382e-09 -9.715e-09  6.518e-09
'PSF6NB    '  3.052e-08  3.810e-08  4.241e-08 -9.509e-08 -8.882e-08 -9.007e-08  3.697e-08  4.568e-08  4.719e-08 -9.306e-08 -1.053e-07 -9.652e-08
'PSF7NB    '  1.437e-08  2.208e-08  2.509e-08  7.284e-08  7.446e-08  7.789e-08  2.194e-08  3.090e-08  3.243e-08  6.957e-08  6.576e-08  7.212e-08
'PSF8B     '  1.259e-09  6.726e-09  8.878e-09  6.268e-09  1.138e-08  1.059e-08  6.757e-09  1.254e-08  1.597e-08  7.714e-09 -6.110e-09  4.807e-09
'PSF9B     '  7.896e-09  8.055e-09  1.621e-08  1.893e-08  2.454e-08  2.651e-08  1.390e-08  1.888e-08  2.517e-08  1.690e-08  1.058e-08  2.206e-08
'PSI11M    '  2.547e-10  3.970e-09  1.402e-08 -7.392e-09 -1.001e-09 -2.480e-09  1.068e-08  1.416e-08  1.976e-08 -5.097e-09 -1.831e-08 -7.755e-09
'PSI12A    '  1.423e-09 -7.969e-10 -1.609e-09 -4.659e-09 -2.187e-09 -4.344e-09  1.663e-09  1.908e-09 -2.675e-09  1.562e-09  2.300e-09 -2.936e-09
'PSI23A    '  2.410e-10  2.983e-10 -2.134e-09 -1.693e-09 -1.243e-09  2.210e-09 -4.064e-09 -4.693e-09 -7.562e-09  4.112e-09  2.413e-09  2.364e-11
'PSI34A    ' -4.588e-09 -2.694e-09 -3.766e-09  1.566e-10  1.879e-09  2.831e-10 -4.208e-09 -1.337e-08 -1.146e-08  8.368e-09  2.700e-09 -1.788e-09
'PSI45A    ' -6.177e-09 -6.964e-09 -9.312e-09 -2.852e-09 -2.127e-09  1.882e-09 -2.170e-09 -1.090e-08 -1.475e-08  4.109e-09 -1.118e-10 -3.174e-09
'PSI58A    ' -7.616e-09 -8.494e-09 -7.836e-09 -5.013e-09  2.904e-09 -4.769e-09 -8.712e-09 -1.393e-08 -1.555e-08  5.683e-09  1.809e-10 -4.262e-09
'PSI9A     ' -2.381e-08 -2.293e-08 -2.376e-08 -9.536e-09 -5.496e-09 -5.244e-09 -2.587e-08 -2.790e-08 -3.328e-08 -2.947e-09 -3.098e-10 -5.291e-09
'PSF7FA    ' -4.221e-08 -6.426e-08 -4.597e-08 -3.593e-09 -3.827e-09 -1.604e-08 -7.487e-08 -7.150e-08 -5.910e-08 -1.723e-08  6.482e-09 -4.342e-09
'PSI7A     ' -1.380e-07 -1.375e-07 -1.391e-07 -1.564e-08 -1.341e-08 -1.089e-08 -1.385e-07 -1.482e-07 -1.477e-07 -1.358e-08 -8.130e-09 -1.172e-08
'PSF6FA    '  1.410e-07  1.109e-07  1.269e-07 -1.907e-08 -2.055e-08 -2.982e-08  9.387e-08  1.026e-07  1.185e-07 -3.736e-08 -2.451e-09 -2.414e-08
'PSI6A     '  1.699e-07  1.638e-07  1.617e-07 -3.075e-08 -2.696e-08 -2.807e-08  1.675e-07  1.607e-07  1.606e-07 -2.108e-08 -2.265e-08 -3.407e-08
'PSI12B    '  6.202e-09  1.011e-09  1.646e-09  2.071e-09  1.749e-09  1.979e-09  3.121e-09  5.152e-10 -4.073e-09  5.556e-09  1.490e-09  3.211e-10
'PSI23B    '  1.698e-09  1.062e-09  4.351e-10  3.467e-09  4.063e-09  3.338e-09  2.642e-09  7.792e-10 -4.340e-09  8.166e-09  7.144e-09  2.454e-09
'PSI34B    '  6.698e-10  2.782e-09  6.121e-10  3.941e-09  6.935e-09  2.176e-09  6.268e-10 -2.764e-10 -4.392e-09  1.157e-08  8.141e-09  3.086e-09
'PSI45B    '  3.889e-09  4.042e-09  2.665e-09  2.498e-09  7.344e-09  8.380e-09  6.155e-10 -4.916e-09 -2.782e-09  1.353e-08  8.919e-09  6.018e-09
'PSI58B    '  5.527e-09  5.140e-09  3.381e-09  6.952e-09  1.187e-08  7.717e-09  4.158e-09 -6.573e-09 -7.377e-09  2.037e-08  1.058e-08  6.229e-09
'PSI9B     '  7.197e-09  8.153e-09  8.838e-09  2.698e-08  3.111e-08  3.318e-08  9.651e-09  1.931e-09  6.074e-09  3.720e-08  3.413e-08  2.868e-08
'PSF7FB    '  1.257e-08  1.947e-08  1.906e-08  6.707e-08  6.860e-08  6.994e-08  1.764e-08  2.410e-08  2.963e-08  6.959e-08  5.679e-08  6.614e-08
'PSI7B     '  1.065e-08  2.157e-08  1.561e-08  1.243e-07  1.259e-07  1.228e-07  1.423e-08  1.333e-08  8.554e-09  1.316e-07  1.309e-07  1.211e-07
'PSF6FB    '  7.311e-09  1.228e-08  1.347e-08 -5.942e-09 -4.372e-09 -1.690e-09  1.002e-08  1.547e-08  2.526e-08 -7.337e-09 -2.215e-08 -4.617e-09
'PSI6B     '  2.804e-08  2.670e-08  2.629e-08 -1.635e-07 -1.580e-07 -1.586e-07  2.633e-08  2.308e-08  2.122e-08 -1.561e-07 -1.566e-07 -1.605e-07
'PSI89FB   '  1.903e-09  9.653e-09  1.627e-08  6.656e-09  1.664e-08  1.666e-08  9.959e-09  1.460e-08  2.138e-08  1.139e-08  6.260e-10  1.103e-08
'PSI89NB   '  5.342e-09  9.476e-09  1.665e-08  1.744e-08  1.986e-08  1.983e-08  1.229e-08  1.632e-08  2.079e-08  1.449e-08  8.637e-09  1.570e-08
'PSI1L     '  1.336e-08  7.321e-09  1.229e-08  2.342e-08  1.790e-08  1.223e-08 -7.111e-10 -1.165e-09  7.641e-09  1.885e-08  2.460e-08  1.469e-08
'PSI2L     '  1.499e-08  1.326e-08  1.653e-08  2.608e-08  2.685e-08  2.680e-08 -6.699e-09  8.049e-09  1.364e-08  2.721e-08  3.364e-08  2.678e-08
'PSI3L     '  1.599e-08  1.292e-08  1.590e-08  3.582e-08  3.633e-08  3.759e-08  2.979e-09  9.759e-09  1.816e-08  3.335e-08  4.170e-08  4.071e-08
  112962         'IU30'     'IU90'    'IU150'     'IL30'     'IL90'    'IL150' 
'MPI11M067 '  1.093e-07 -4.606e-08  1.785e-07  6.066e-08 -8.481e-08  3.017e-08
'MPI1A067  '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'MPI2A067  '  9.034e-08 -6.085e-08  1.163e-07  1.492e-08 -7.800e-08  2.332e-08
'MPI3A067  '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'MPI4A067  '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'MPI5A067  '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'MPI8A067  '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'MPI9A067  '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'MPI79A067 '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'MPI7FA067 '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'MPI7NA067 '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'MPI67A067 '  1.844e-08  1.205e-08  6.156e-08 -3.644e-08 -4.870e-09  2.204e-08
'MPI6FA067 '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'MPI6NA067 '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'MPI66M067 '  7.995e-08 -5.293e-08  1.268e-07  1.095e-07 -2.006e-08  6.051e-08
'MPI1B067  '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'MPI2B067  '  7.780e-08 -8.472e-08  1.175e-07  8.310e-08 -4.520e-08  4.132e-09
'MPI3B067  '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'MPI4B067  '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'MPI5B067  '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'MPI8B067  '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'MPI89B067 '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'MPI9B067  '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'MPI79B067 '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'MPI7FB067 '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'MPI7NB067 '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'MPI67B067 '  3.125e-08 -2.900e-08  2.002e-08  1.922e-09 -1.901e-09 -2.389e-09
'MPI6FB067 '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'MPI6NB067 '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
'MPI8A322  ' -2.872e-08 -1.018e-08 -6.608e-08  6.868e-08 -2.058e-09  1.759e-08
'MPI89A322 ' -4.608e-08 -4.237e-09 -4.639e-08 -3.896e-08  7.706e-09 -3.617e-08
'MPI9A322  ' -1.676e-08 -3.814e-08  4.218e-09  3.401e-08 -4.625e-08  1.586e-08
'MPI79FA322' -3.157e-08 -2.265e-08 -1.547e-07  1.495e-08 -2.324e-08 -3.293e-08
'MPI79NA322'  1.572e-08 -4.335e-09 -1.292e-07 -2.126e-08 -1.051e-08 -4.494e-08
'MPI7FA322 ' -6.153e-08 -7.274e-09 -2.013e-07  2.676e-08  1.764e-08 -1.109e-09
'MPI7NA322 ' -3.862e-08 -3.551e-09 -1.447e-07  1.306e-08  8.613e-09 -2.166e-09
'MPI67A322 ' -2.079e-09 -1.548e-08 -8.788e-08  1.055e-08 -2.086e-09 -1.154e-08
'MPI6FA322 '  2.147e-09 -1.599e-08  9.726e-08 -3.268e-08 -6.463e-09 -6.283e-08
'MPI6NA322 ' -6.276e-09 -2.597e-08 -2.948e-08  2.547e-08 -1.260e-08 -3.483e-08
'MPI66M322 ' -4.578e-08  1.378e-08 -6.285e-09  1.139e-14 -3.759e-08 -6.616e-08
'MPI6NB322 ' -9.841e-08 -4.072e-08  5.366e-08  3.121e-08  6.172e-09  2.483e-08
'MPI6FB322 ' -2.103e-09 -1.218e-08  1.693e-08  1.707e-08  4.220e-09 -1.591e-08
'MPI67B322 ' -3.164e-08 -1.746e-09  2.761e-08  4.281e-08 -8.467e-09 -2.022e-08
'MPI7NB322 '  2.415e-08  1.272e-08  2.652e-08 -3.118e-08 -2.643e-08  7.642e-08
'MPI7FB322 ' -4.102e-08 -8.934e-09  4.347e-09 -1.095e-08 -6.500e-09  8.280e-08
'MPI79B322 '  4.332e-08  2.151e-08  1.526e-08  1.539e-08 -3.695e-08  6.230e-08
'MPI9B322  ' -6.368e-09  1.757e-09  2.137e-08  2.369e-08  2.130e-09 -2.463e-08
'MPI89B322 ' -1.694e-08 -1.402e-08  8.527e-09 -2.149e-09 -2.337e-08 -1.282e-08
'MPI8B322  '  8.379e-09 -2.080e-08 -4.218e-09 -8.503e-09 -6.727e-08  4.228e-08
'MPI5B322  ' -3.270e-08 -2.706e-08 -6.790e-08 -8.296e-08 -1.354e-07  1.403e-07
'MPI4B322  '  2.777e-08 -5.303e-09  1.075e-08  2.601e-08 -1.286e-08  1.509e-08
'MPI3B322  ' -2.731e-08 -2.260e-08 -1.692e-08 -1.066e-08 -6.114e-08  2.120e-09
'MPI2B322  '  8.421e-09 -1.045e-08 -2.331e-08  2.564e-08 -3.003e-14  1.381e-08
'MPI1B322  '  2.263e-08  5.108e-09 -1.036e-08  8.351e-09  8.258e-09  1.038e-08
'MPI11M322 ' -6.520e-08 -3.735e-08 -5.049e-08  1.423e-14  0.000e+00  4.555e-08
'MPI1A322  ' -7.019e-08 -8.801e-09 -5.995e-08 -2.158e-09 -2.134e-09 -1.073e-09
'MPI2A322  ' -4.011e-08 -1.747e-09 -5.313e-08 -8.568e-09 -1.271e-08  8.841e-08
'MPI3A322  ' -1.496e-08  3.006e-08 -4.303e-09 -1.084e-08  6.433e-09 -5.176e-08
'MPI4A322  ' -4.072e-08  4.079e-08 -4.315e-09  7.176e-08  2.795e-08 -5.839e-08
'MPI5A322  ' -1.896e-08  5.229e-09 -6.361e-09  3.419e-08  0.000e+00 -2.338e-08
'MPI1U157  '  4.842e-08  6.233e-08 -5.145e-08  1.638e-08 -7.558e-08 -1.900e-08
'MPI2U157  '  1.336e-07  9.355e-08 -2.380e-07  2.190e-07 -1.341e-07 -1.037e-07
'MPI3U157  ' -3.228e-07  4.240e-09 -1.650e-07 -2.599e-08 -9.768e-08 -3.878e-08
